epoch,step,train_loss
0,49,7.026710033416748
0,99,6.846529960632324
0,149,6.662319660186768
0,199,6.72194766998291
0,249,6.687621116638184
0,299,6.8409929275512695
0,349,6.730064868927002
0,399,6.534543514251709
0,449,6.638844013214111
0,499,6.652596950531006
0,549,6.666543006896973
0,599,6.580374240875244
0,649,6.607400417327881
0,699,6.659759998321533
0,749,6.581894397735596
0,799,6.627261161804199
0,849,6.703080177307129
0,899,6.58488655090332
0,949,6.7049126625061035
0,999,6.636377811431885
0,1049,6.693566799163818
0,1099,6.691417217254639
0,1149,6.686288356781006
0,1199,6.6640944480896
0,1249,6.51533317565918
0,1299,6.724128723144531
0,1349,6.593086242675781
0,1399,6.6141767501831055
0,1449,6.654333591461182
0,1499,6.724514007568359
0,1549,7.3639607429504395
0,1599,6.89538049697876
0,1649,6.965793132781982
0,1699,6.993738651275635
0,1749,6.663083076477051
0,1799,6.754932403564453
0,1849,6.8018975257873535
0,1899,6.677329063415527
0,1949,6.655917167663574
0,1999,6.6842265129089355
0,2049,6.546142578125
0,2099,6.628912448883057
0,2149,6.72492790222168
0,2199,6.668665409088135
0,2249,6.720778942108154
0,2299,6.5562968254089355
0,2349,6.703003883361816
0,2399,6.621651649475098
0,2449,6.732300758361816
0,2499,6.685903072357178
0,2549,6.578934669494629
0,2599,6.638003826141357
0,2649,6.576034069061279
0,2699,6.738083839416504
0,2749,6.570580959320068
0,2799,6.6326823234558105
0,2849,6.535642147064209
0,2899,6.663021564483643
