epoch,step,train_loss
0,49,6.489525318145752
0,99,6.636038303375244
0,149,6.7875237464904785
0,199,6.472504138946533
0,249,6.532451629638672
0,299,6.447697639465332
0,349,6.497346878051758
0,399,6.6325154304504395
0,449,6.58799409866333
0,499,6.567000389099121
0,549,6.488597393035889
0,599,6.565340995788574
0,649,6.589266777038574
0,699,6.470999717712402
0,749,6.476744651794434
0,799,6.451395511627197
0,849,6.509919166564941
0,899,6.447944641113281
0,949,6.368342399597168
0,999,6.488760948181152
0,1049,6.5594706535339355
0,1099,6.468070983886719
0,1149,6.480249404907227
0,1199,6.4844183921813965
0,1249,6.590769290924072
0,1299,6.475468158721924
0,1349,6.570615291595459
0,1399,6.447092056274414
0,1449,6.486861705780029
0,1499,6.490396976470947
0,1549,6.566989898681641
0,1599,6.538430690765381
0,1649,6.586672306060791
0,1699,6.482123374938965
0,1749,6.434474945068359
0,1799,6.464298725128174
0,1849,6.407415866851807
0,1899,6.478431224822998
0,1949,6.581392765045166
0,1999,6.554535865783691
0,2049,6.521185398101807
0,2099,6.482648849487305
0,2149,6.399965763092041
0,2199,6.587738037109375
0,2249,6.451157093048096
0,2299,6.55891752243042
0,2349,6.457939624786377
0,2399,6.506824016571045
0,2449,6.463088035583496
0,2499,6.3914995193481445
0,2549,6.451630592346191
0,2599,6.542011260986328
0,2649,6.5614705085754395
0,2699,6.597380638122559
0,2749,6.385656356811523
0,2799,6.55954122543335
0,2849,6.554091453552246
0,2899,6.499700546264648
